ISCO 08 Code,ISEI value,Title DE/FR
2000,65.0,"DE: Akademische Berufe
FR: Professions intellectuelles et scientifiques"
2100,69.0,"DE: Naturwissenschaftler, Mathematiker und Ingenieure
FR: Spécialistes des sciences techniques"
2110,77.0,"DE: Physiker, Chemiker, Geologen und verwandte Berufe
FR: Physiciens, chimistes et assimilés"
2111,79.0,"DE: Physiker und Astronomen
FR: Physiciens et astronomes"
2112,70.0,"DE: Meteorologen
FR: Météorologues"
2113,76.0,"DE: Chemiker
FR: Chimistes"
2114,80.0,"DE: Geologen und Geophysiker
FR: Géologues et géophysiciens"
2120,73.0,"DE: Mathematiker, Versicherungsmathematiker und Statistiker
FR: Mathématiciens, actuaires et statisticiens"
2130,67.0,"DE: Biowissenschaftler
FR: Spécialistes des sciences de la vie"
2131,71.0,"DE: Biologen, Botaniker, Zoologen und verwandte Berufe
FR: Biologistes, botanistes, zoologistes et assimilés"
2132,64.0,"DE: Agrar-, Forst- und Fischereiwissenschaftler und -berater
FR: Agronomes et assimilés"
2133,67.0,"DE: Umweltwissenschaftler
FR: Spécialistes de la protection de l’environnement"
2140,72.0,"DE: Ingenieurwissenschaftler (ohne Elektrotechnik, Elektronik und Telekommunikation)
FR: Spécialistes, sciences techniques (sauf électrotechniques)"
2141,65.0,"DE: Wirtschafts- und Produktionsingenieure
FR: Spécialistes, sciences techniques de la production et de l’industrie"
2142,76.0,"DE: Bauingenieure
FR: Ingénieurs civils"
2143,72.0,"DE: Umweltschutzingenieure
FR: Ingénieurs écologistes"
2144,69.0,"DE: Maschinenbauingenieure
FR: Ingénieurs mécaniciens"
2145,71.0,"DE: Chemieingenieure
FR: Ingénieurs chimistes"
2146,74.0,"DE: Bergbauingenieure, Metallurgen und verwandte Berufe
FR: Ingénieurs des mines, ingénieurs métallurgistes et assimilés"
2149,70.0,"DE: Ingenieure, anderweitig nicht genannt
FR: Spécialistes, sciences techniques non classés ailleurs"
2150,74.0,"DE: Ingenieure in den Bereichen Elektrotechnik, Elektronik und Telekommunikationstechnik
FR: Ingénieurs de l’électrotechnique"
2151,74.0,"DE: Ingenieure im Bereich Elektrotechnik
FR: Ingénieurs électriciens"
2152,75.0,"DE: Ingenieure im Bereich Elektronik
FR: Ingénieurs électroniciens"
2153,74.0,"DE: Ingenieure im Bereich Telekommunikationstechnik
FR: Spécialistes des télécommunications"
2160,60.0,"DE: Architekten, Raum-, Stadt- und Verkehrsplaner, Vermessungsingenieure und Designer
FR: Architectes, urbanistes, géomètres et concepteurs"
2161,71.0,"DE: Architekten
FR: Architectes, bâtiment"
2162,60.0,"DE: Landschaftsarchitekten
FR: Architectes paysagistes"
2163,51.0,"DE: Produkt- und Textildesigner
FR: Concepteurs modélistes de produits et de vêtements"
2164,60.0,"DE: Raum-, Stadt- und Verkehrsplaner
FR: Urbanistes et ingénieurs de la circulation routière"
2165,67.0,"DE: Kartografen und Vermessungsingenieure
FR: Cartographes et géomètres"
2166,60.0,"DE: Grafik- und Multimediadesigner
FR: Concepteurs graphiques, multimédia – graphistes"
2200,66.0,"DE: Akademische und verwandte Gesundheitsberufe
FR: Spécialistes de la santé"
2210,89.0,"DE: Ärzte
FR: Médecins"
2211,89.0,"DE: Allgemeinärzte
FR: Médecins généralistes"
2212,89.0,"DE: Fachärzte
FR: Médecins spécialistes"
2220,54.0,"DE: Akademische und vergleichbare Krankenpflege- und Geburtshilfefachkräfte
FR: Cadres infirmiers et sages-femmes"
2221,42.0,"DE: Akademische und vergleichbare Krankenpflegefachkräfte
FR: Cadres infirmiers"
2222,52.0,"DE: Akademische und vergleichbare Geburtshilfefachkräfte
FR: Sages-femmes"
2230,49.0,"DE: Akademische und vergleichbare Fachkräfte in der traditionellen und komplementären Medizin
FR: Spécialistes des médecines traditionnelles et des médecines complémentaires"
2240,51.0,"DE: Feldscher und vergleichbare paramedizinische Praktiker
FR: Praticiens paramédicaux"
2250,71.0,"DE: Tierärzte
FR: Vétérinaires"
2260,66.0,"DE: Sonstige akademische und verwandte Gesundheitsberufe
FR: Autres spécialistes des professions de la santé"
2261,86.0,"DE: Zahnärzte
FR: Dentistes"
2262,69.0,"DE: Apotheker
FR: Pharmaciens"
2263,66.0,"DE: Akademische und vergleichbare Fachkräfte in den Bereichen Umwelt- und Arbeitsmedizin sowie Hygiene
FR: Spécialistes de la salubrité de l’environnement, de l’hygiène et de la santé au travail"
2264,55.0,"DE: Physiotherapeuten
FR: Physiothérapeutes"
2265,53.0,"DE: Diätologen und Ernährungsberater
FR: Diététiciens et spécialistes de la nutrition"
2266,51.0,"DE: Audiologen und Sprachtherapeuten
FR: Audiologistes et orthophonistes"
2267,58.0,"DE: Optometristen und Orthoptisten
FR: Optométristes"
2269,64.0,"DE: Akademische und verwandte Gesundheitsberufe, anderweitig nicht genannt
FR: Spécialistes de la santé non classés ailleurs"
2300,63.0,"DE: Lehrkräfte
FR: Spécialistes de l’enseignement"
2310,76.0,"DE: Universitäts- und Hochschullehrer
FR: Professeurs d’université et d’établissements d’enseignement supérieur"
2320,65.0,"DE: Lehrkräfte im Bereich Berufsbildung
FR: Professeurs, enseignement technique et professionnel"
2330,71.0,"DE: Lehrkräfte im Sekundarbereich
FR: Professeurs, enseignement secondaire"
2340,57.0,"DE: Lehrkräfte im Primar- und Vorschulbereich
FR: Instituteurs, enseignement primaire et éducateurs de la petite enfance"
2341,61.0,"DE: Lehrkräfte im Primarbereich
FR: Instituteurs, enseignement primaire"
2342,47.0,"DE: Lehrkräfte und Erzieher im Vorschulbereich
FR: Éducateurs de la petite enfance"
2350,56.0,"DE: Sonstige Lehrkräfte
FR: Autres spécialistes de l’enseignement"
2351,67.0,"DE: Pädagogik- und Didaktikspezialisten
FR: Spécialistes des méthodes d’enseignement"
2352,58.0,"DE: Lehrkräfte im Bereich Sonderpädagogik
FR: Enseignants, éducation spécialisée"
2353,54.0,"DE: Sonstige Sprachlehrer
FR: Autres professeurs de langues"
