ISCO 08 Code,Luxembourg-specifc information
2300,"When no other information is available, this code should be used for “professor” or professeur” as this might refer to both University/college professors and teachers in secondary education."
9110,"When no other information is available, this code should be used for non-specific cleaning personnel (“Botzfra”, “Putzfrau”, “femme de ménage”)."
